zone_price,zone_amount,buy_id,buy_price,buy_unit,buy_fee_unit,buy_recive_unit,buy_open_time,buy_status,buy_close_time,sell_id,sell_price,sell_unit,sell_fee_amount,sell_recive_amount,sell_open_time,sell_status,sell_close_time
338.8442,4.0,29474348221,303.275,0.01,6.65e-06,0.00999335,2021-02-21T14:27:45.162208+00:00,closed,2021-02-21T14:29:21.383Z,29474573857,345.621,0.01,0.00229837965,3.45391162035,2021-02-21T14:29:21.627196+00:00,open,
334.8263,4.0,29474351061,303.275,0.01,6.65e-06,0.00999335,2021-02-21T14:27:46.395712+00:00,closed,2021-02-21T14:29:22.431Z,29474575823,341.523,0.01,0.00227112795,3.4129588720500004,2021-02-21T14:29:22.712632+00:00,open,
330.856,4.0,29474355221,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:47.784146+00:00,closed,2021-02-21T14:29:23.574Z,29474578617,337.473,0.01,0.00224419545,3.37248580455,2021-02-21T14:29:23.907694+00:00,open,
326.9328,4.0,29474359060,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:49.361355+00:00,closed,2021-02-21T14:29:25.155Z,29474582688,333.471,0.01,0.00221758215,3.33249241785,2021-02-21T14:29:25.413390+00:00,open,
323.0562,4.0,29474362001,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:50.647632+00:00,closed,2021-02-21T14:29:26.276Z,29474586988,329.517,0.01,0.00219128805,3.29297871195,2021-02-21T14:29:26.863835+00:00,open,
319.2254,4.0,29474365057,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:51.895963+00:00,closed,2021-02-21T14:29:28.031Z,29474590460,325.61,0.01,0.0021653065,3.2539346935,2021-02-21T14:29:28.277815+00:00,open,
315.4402,4.0,29474368176,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:53.236694+00:00,closed,2021-02-21T14:29:29.143Z,29474592901,321.749,0.01,0.00213963085,3.2153503691500003,2021-02-21T14:29:29.428413+00:00,open,
311.6998,4.0,29474370973,303.877,0.01,6.65e-06,0.00999335,2021-02-21T14:27:54.517838+00:00,closed,2021-02-21T14:29:30.526Z,29474595290,317.934,0.01,0.0021142611,3.1772257389000003,2021-02-21T14:29:30.815680+00:00,open,
308.0037,4.0,29474374904,304.094,0.01,6.65e-06,0.00999335,2021-02-21T14:27:55.883107+00:00,closed,2021-02-21T14:29:31.972Z,29474597818,314.164,0.01,0.0020891906,3.1395508094,2021-02-21T14:29:32.246584+00:00,open,
304.3515,4.0,29474377996,304.268,0.01,6.65e-06,0.00999335,2021-02-21T14:27:57.187363+00:00,closed,2021-02-21T14:29:33.065Z,29474599906,310.439,0.01,0.00206441935,3.1023255806500005,2021-02-21T14:29:33.329284+00:00,open,
300.7426,4.0,29474381246,300.743,0.01,6.65e-06,0.00999335,2021-02-21T14:27:58.291340+00:00,closed,2021-02-21T14:47:15.199Z,29477192208,306.758,0.01,0.0020399407,3.0655400593,2021-02-21T14:47:15.890840+00:00,open,
297.1765,4.0,29474384149,297.176,0.01,6.65e-06,0.00999335,2021-02-21T14:27:59.496206+00:00,closed,2021-02-21T15:29:41.192Z,29483441404,303.12,0.01,0.002015748,3.0291842520000003,2021-02-21T15:29:41.772044+00:00,open,
293.6526,4.03,29514901002,293.653,0.01,6.65e-06,0.00999335,2021-02-21T19:15:27.118328+00:00,closed,2021-02-21T20:10:16.730Z,29521602735,299.526,0.01,0.0019918479,2.9932681521,2021-02-21T20:10:17.210452+00:00,open,
290.1706,4.0600000000000005,29550129216,290.171,0.01,6.65e-06,0.00999335,2021-02-21T23:37:44.388702+00:00,closed,2021-02-22T00:06:50.714Z,29553990933,295.974,0.01,0.0019682271,2.9577717729,2021-02-22T00:06:50.943634+00:00,open,
286.7298,4.0600000000000005,29545142219,286.73,0.01,6.65e-06,0.00999335,2021-02-21T23:00:16.613311+00:00,closed,2021-02-22T00:09:24.731Z,29554415526,292.465,0.01,0.0019448922499999,2.92270510775,2021-02-22T00:09:24.961886+00:00,open,
283.3299,4.0600000000000005,29544081038,283.33,0.01,6.65e-06,0.00999335,2021-02-21T22:52:04.203902+00:00,closed,2021-02-22T00:15:59.557Z,29555547829,288.997,0.01,0.0019218300500000003,2.8880481699500002,2021-02-22T00:15:59.889894+00:00,open,
279.9702,4.0,29474400663,279.97,0.01,6.65e-06,0.00999335,2021-02-21T14:28:05.894321+00:00,open,,,,,,,,,
276.6504,4.0,29474404122,276.65,0.01,6.65e-06,0.00999335,2021-02-21T14:28:07.007579+00:00,open,,,,,,,,,
273.37,4.0,29474407263,273.37,0.01,6.65e-06,0.00999335,2021-02-21T14:28:08.145195+00:00,open,,,,,,,,,
270.1285,4.0,29474410040,270.128,0.01,6.65e-06,0.00999335,2021-02-21T14:28:09.290352+00:00,open,,,,,,,,,
266.9253,4.0,29474412718,266.925,0.01,6.65e-06,0.00999335,2021-02-21T14:28:10.481366+00:00,open,,,,,,,,,
263.7602,4.0,29474415689,263.76,0.01,6.65e-06,0.00999335,2021-02-21T14:28:11.770769+00:00,open,,,,,,,,,
260.6326,4.0,29474418303,260.633,0.01,6.65e-06,0.00999335,2021-02-21T14:28:12.904757+00:00,open,,,,,,,,,
257.5421,4.0,29474421162,257.542,0.01,6.65e-06,0.00999335,2021-02-21T14:28:14.035934+00:00,open,,,,,,,,,
254.4883,4.0,29474424534,254.488,0.01,6.65e-06,0.00999335,2021-02-21T14:28:15.347353+00:00,open,,,,,,,,,
251.4706,4.0,29474427947,251.471,0.01,6.65e-06,0.00999335,2021-02-21T14:28:16.604741+00:00,open,,,,,,,,,
248.4888,4.0,29474432029,248.489,0.01,6.65e-06,0.00999335,2021-02-21T14:28:17.857046+00:00,open,,,,,,,,,
245.5422,4.0,29474435629,245.542,0.01,6.65e-06,0.00999335,2021-02-21T14:28:19.138205+00:00,open,,,,,,,,,
242.6307,4.0,29474438462,242.631,0.01,6.65e-06,0.00999335,2021-02-21T14:28:20.288265+00:00,open,,,,,,,,,
239.7536,4.0,29474441264,239.754,0.01,6.65e-06,0.00999335,2021-02-21T14:28:21.456320+00:00,open,,,,,,,,,
236.9107,4.0,29474444377,236.911,0.01,6.65e-06,0.00999335,2021-02-21T14:28:22.571315+00:00,open,,,,,,,,,
